Record Date,Security Type Description,Security Class Description,Securities Sold Count
2017-01-31,Marketable,Bill,6109
2016-12-31,Savings Bond,EE,50287
2016-12-31,Savings Bond,I,63344
2016-12-31,Marketable,Bill,6434
2016-12-31,Marketable,Bond,254
2016-12-31,Marketable,Note,1271
2016-11-30,Savings Bond,EE,24146
2016-11-30,Savings Bond,I,41448
2016-11-30,Marketable,Bill,4962
2016-11-30,Marketable,Bond,235
2016-11-30,Marketable,Note,2115
2016-10-31,Savings Bond,EE,22188
2016-10-31,Savings Bond,I,33177
2016-10-31,Marketable,Bill,4993
2016-10-31,Marketable,Bond,236
2016-10-31,Marketable,Note,1642
2016-09-30,Savings Bond,EE,22351
2016-09-30,Savings Bond,I,34273
2016-09-30,Marketable,Bill,5811
2016-09-30,Marketable,Bond,157
2016-09-30,Marketable,Note,1968
2016-08-31,Savings Bond,EE,23216
2016-08-31,Savings Bond,I,35203
2016-08-31,Marketable,Bill,4804
2016-08-31,Marketable,Bond,234
2016-08-31,Marketable,Note,3360
2016-07-31,Savings Bond,EE,21889
2016-07-31,Savings Bond,I,34407
2016-07-31,Marketable,Bill,4729
2016-07-31,Marketable,Bond,163
2016-07-31,Marketable,Note,815
2016-06-30,Savings Bond,EE,21650
2016-06-30,Savings Bond,I,34040
2016-06-30,Marketable,Bill,5638
2016-06-30,Marketable,Bond,300
2016-06-30,Marketable,Note,1677
2016-05-31,Savings Bond,EE,22945
2016-05-31,Savings Bond,I,36216
2016-05-31,Marketable,Bill,4891
2016-05-31,Marketable,Bond,267
2016-05-31,Marketable,Note,3880
2016-04-30,Savings Bond,EE,22607
2016-04-30,Savings Bond,I,38746
2016-04-30,Marketable,Bill,4894
2016-04-30,Marketable,Bond,198
2016-04-30,Marketable,Note,1229
2016-03-31,Savings Bond,EE,23998
2016-03-31,Savings Bond,I,39791
2016-03-31,Marketable,Bill,6654
2016-03-31,Marketable,Bond,218
2016-03-31,Marketable,Note,2317
2016-02-29,Savings Bond,EE,24157
2016-02-29,Savings Bond,I,39901
2016-02-29,Marketable,Bill,5263
2016-02-29,Marketable,Bond,391
2016-02-29,Marketable,Note,4035
2016-01-31,Savings Bond,EE,26311
2016-01-31,Savings Bond,I,43437
2016-01-31,Marketable,Bill,5224
2016-01-31,Marketable,Bond,179
2016-01-31,Marketable,Note,1142
2015-12-31,Savings Bond,EE,55639
2015-12-31,Savings Bond,I,62269
2015-12-31,Marketable,Bill,4936
2015-12-31,Marketable,Bond,203
2015-12-31,Marketable,Note,2434
2015-11-30,Savings Bond,EE,26731
2015-11-30,Marketable,Bill,3956
2015-11-30,Marketable,Bond,314
2015-11-30,Marketable,Note,3556
2015-11-30,Savings Bond,I,41799
2015-10-31,Savings Bond,EE,24697
2015-10-31,Savings Bond,I,34876
2015-10-31,Marketable,Bill,4143
2015-10-31,Marketable,Bond,227
2015-10-31,Marketable,Note,440
2015-09-30,Savings Bond,EE,23585
2015-09-30,Savings Bond,I,33861
2015-09-30,Marketable,Bill,3801
2015-09-30,Marketable,Bond,196
2015-09-30,Marketable,Note,1882
2015-08-31,Savings Bond,EE,24762
2015-08-31,Savings Bond,I,34843
2015-08-31,Marketable,Bill,3908
2015-08-31,Marketable,Bond,257
2015-08-31,Marketable,Note,2205
2015-07-31,Savings Bond,EE,26090
2015-07-31,Savings Bond,I,38563
2015-07-31,Marketable,Bill,4456
2015-07-31,Marketable,Bond,177
2015-07-31,Marketable,Note,2381
2015-06-30,Savings Bond,EE,25593
2015-06-30,Savings Bond,I,38882
2015-06-30,Marketable,Bill,3560
2015-06-30,Marketable,Bond,320
2015-06-30,Marketable,Note,3062
2015-05-31,Savings Bond,EE,24779
2015-05-31,Savings Bond,I,39756
2015-05-31,Marketable,Bill,3694
2015-05-31,Marketable,Bond,273
2015-05-31,Marketable,Note,1345
2015-04-30,Savings Bond,EE,25269
2015-04-30,Savings Bond,I,43851
2015-04-30,Marketable,Bill,5163
2015-04-30,Marketable,Bond,148
2015-04-30,Marketable,Note,2613
2015-03-31,Savings Bond,EE,26840
2015-03-31,Savings Bond,I,47461
2015-03-31,Marketable,Bill,3959
2015-03-31,Marketable,Bond,204
2015-03-31,Marketable,Note,3441
2015-02-28,Savings Bond,EE,24932
2015-02-28,Savings Bond,I,42981
2015-02-28,Marketable,Bill,4342
2015-02-28,Marketable,Bond,432
2015-02-28,Marketable,Note,2576
2015-01-31,Savings Bond,EE,31114
2015-01-31,Savings Bond,I,55236
2015-01-31,Marketable,Bill,4804
2015-01-31,Marketable,Bond,177
2015-01-31,Marketable,Note,1146
2014-12-31,Savings Bond,EE,63051
2014-12-31,Savings Bond,I,71630
2014-12-31,Marketable,Bill,3756
2014-12-31,Marketable,Bond,197
2014-12-31,Marketable,Note,3330
2014-11-30,Savings Bond,EE,26943
2014-11-30,Savings Bond,I,43544
2014-11-30,Marketable,Bill,3793
2014-11-30,Marketable,Bond,306
2014-11-30,Marketable,Note,1141
2014-10-31,Savings Bond,EE,28321
2014-10-31,Savings Bond,I,48288
2014-10-31,Marketable,Bill,4671
2014-10-31,Marketable,Bond,254
2014-10-31,Marketable,Note,1998
2014-09-30,Savings Bond,EE,26669
